"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","2057-PH1-04-UA-ND","PH1-04-UA","CONN HEADER VERT 4POS 2.54MM","","2","0","0.10000","0.20"
"2","4","2057-PH1-03-UA-ND","PH1-03-UA","CONN HEADER VERT 3POS 2.54MM","","4","0","0.10000","0.40"
"3","1","2057-PH1-06-UA-ND","PH1-06-UA","CONN HEADER VERT 6POS 2.54MM","","1","0","0.12000","0.12"
"4","1","2057-PH1-02-UA-ND","PH1-02-UA","CONN HEADER VERT 2POS 2.54MM","","1","0","0.10000","0.10"
"5","2","2057-PH1-15-UA-ND","PH1-15-UA","CONN HEADER VERT 15POS 2.54MM","","2","0","0.23000","0.46"
"6","1","S7083-ND","PPTC152LFBN-RC","CONN HDR 30POS 0.1 TIN PCB","","1","0","1.82000","1.82"
"7","1","S7013-ND","PPTC151LFBN-RC","CONN HDR 15POS 0.1 TIN PCB","","1","0","0.98000","0.98"
"8","1","S7014-ND","PPTC161LFBN-RC","CONN HDR 16POS 0.1 TIN PCB","","1","0","0.98000","0.98"
"9","1","S7045-ND","PPPC121LFBN-RC","CONN HDR 12POS 0.1 GOLD PCB","","1","0","0.81000","0.81"
"10","4","BZX55C3V0-TAPGICT-ND","BZX55C3V0-TAP","DIODE ZENER 3V 500MW DO35","","4","0","0.19000","0.76"